Country_Code,country,Population2010,beer_servings,wine_servings,spirit_servings,total_alcohol_servings,average_alcohol_servings,mean_beer_to_wine,total_litres_of_pure_alcohol,GDP2010
CHN,China,1337705000,79,8,192,279,93,9.875,5,10.63614046
IND,India,1230980691,9,0,114,123,41,Inf,2.2,8.497584702
IDN,Indonesia,242524123,5,0,1,6,2,Inf,0.1,6.223854181
BRA,Brazil,196796269,245,16,145,406,135.33333333333334,15.3125,7.2,7.52822583
PAK,Pakistan,170560182,0,0,0,0,0,NaN,0,1.606688629
NGA,Nigeria,158578261,42,2,5,49,16.333333333333332,21,9.1,8.005655915
BGD,Bangladesh,152149102,0,0,0,0,0,NaN,0,5.571802274
RUS,Russian Federation,142849449,247,73,326,646,215.33333333333334,3.3835616438356166,11.5,4.5
JPN,Japan,128070000,77,16,202,295,98.33333333333333,4.8125,7,4.191739259
MEX,Mexico,117318941,238,5,68,311,103.66666666666667,47.6,5.5,5.118118143
PHL,Philippines,93726624,71,1,186,258,86,71,4.6,7.33449996
ETH,Ethiopia,87702670,20,0,3,23,7.666666666666667,Inf,0.7,12.55053835
VNM,Vietnam,86932500,111,1,2,114,38,111,2,6.423238217
DEU,Germany,81776930,346,175,117,638,212.66666666666666,1.977142857142857,11.3,4.178969038
TUR,Turkey,72326914,51,7,22,80,26.666666666666668,7.285714285714286,1.4,8.487372187
THA,Thailand,67208808,99,1,258,358,119.33333333333333,99,6.4,7.513390533
FRA,France,65027512,127,370,151,648,216,0.34324324324324323,11.8,1.949437633
GBR,United Kingdom,62766365,219,195,126,540,180,1.123076923076923,10.4,1.949521482
ITA,Italy,59277417,85,237,42,364,121.33333333333333,0.35864978902953587,6.5,1.713295839
ZAF,South Africa,50979432.36,225,81,76,382,127.33333333333333,2.7777777777777777,8.2,3.039730814
MMR,Myanmar,50155896,5,0,1,6,2,Inf,0.1,9.634439452
ESP,Spain,46576897,284,112,157,553,184.33333333333334,2.5357142857142856,10,0.163010231
TZA,Tanzania,46098591,36,1,6,43,14.333333333333334,36,5.7,6.336523427
